root:2026-08-13 13:38:49:INFO:Beginning scheduled processing [line 16]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:Reading in raw files matching *gli.raw* [line 115]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:Nfiles found: 0 [line 119]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:found [] [line 128]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:Reading in raw files matching *gli.sub* [line 115]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:Nfiles found: 159 [line 119]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:found ['data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.1.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.2.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.3.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.4.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.5.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.6.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.7.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.8.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.9.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.10.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.11.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.12.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.13.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.14.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.15.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.16.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.17.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.18.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.19.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.20.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.21.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.22.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.23.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.24.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.25.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.26.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.27.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.28.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.29.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.30.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.31.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.32.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.33.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.34.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.35.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.36.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.37.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.38.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.39.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.40.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.41.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.42.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.43.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.44.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.45.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.46.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.47.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.48.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.49.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.50.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.51.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.52.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.53.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.54.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.55.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.56.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.57.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.58.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.59.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.60.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.61.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.62.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.63.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.64.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.65.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.66.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.67.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.68.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.69.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.70.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.71.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.72.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.73.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.74.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.75.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.76.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.77.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.78.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.79.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.80.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.81.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.82.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.83.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.84.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.85.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.86.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.87.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.88.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.89.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.90.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.91.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.92.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.93.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.94.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.95.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.96.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.97.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.98.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.99.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.100.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.101.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.102.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.103.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.104.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.105.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.106.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.107.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.108.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.109.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.110.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.111.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.112.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.113.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.114.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.115.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.116.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.117.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.118.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.119.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.120.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.121.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.122.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.123.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.124.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.125.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.126.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.127.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.128.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.129.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.130.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.131.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.132.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.133.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.134.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.135.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.136.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.137.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.138.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.139.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.140.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.141.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.142.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.143.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.144.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.145.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.146.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.147.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.148.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.149.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.150.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.151.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.152.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.153.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.154.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.155.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.156.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.157.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.158.gz', 'data/SEA117-M026_20260128/0_RawData_gli_and_pld\\sea117.26.gli.sub.159.gz'] [line 128]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.1.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0001.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.2.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0002.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.3.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0003.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.4.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0004.parquet [line 137]
