Column_Name,Dataset,Definition,Units
Time,flight_timeseries_engineering,Unix epoch timestamp (seconds elapsed since 1970-01-01 00:00:00 UTC).,Seconds
YO_NUMBER,flight_timeseries_engineering,Dive/yo sequence profile number recorded by the flight computer.,Count
Time_UTC,flight_timeseries_engineering,Coordinated Universal Time (UTC) logged by the flight computer.,YYYY-MM-DD HH:MM:SS
NavState,flight_timeseries_engineering,"Operational state (e.g., descent, ascent, inflecting, surfacing, gps) mapped from numeric codes.",Text string
Heading,flight_timeseries_engineering,Vehicle compass heading relative to north (0–360°).,Degrees (°)
Declination,flight_timeseries_engineering,Local magnetic declination offset applied for true north corrections.,Degrees (°)
Pitch,flight_timeseries_engineering,"Pitch angle relative to horizontal (positive = nose up, negative = nose down).",Degrees (°)
Roll,flight_timeseries_engineering,Roll angle / tilt along the longitudinal axis (positive = right wing down).,Degrees (°)
Depth,flight_timeseries_engineering,Water depth calculated by the flight system pressure sensor.,Meters (m)
PressureNav,flight_timeseries_engineering,Raw hydrostatic pressure measured by the primary navigation transducer.,Decibars (dbar)
PressureRel,flight_timeseries_engineering,Relative/tare-corrected pressure used for flight depth calculations.,Decibars (dbar)
Temperature,flight_timeseries_engineering,Internal temperature measured inside the glider,°C
Pa,flight_timeseries_engineering,Internal hull air pressure,psia / mbar
Humidity,flight_timeseries_engineering,Relative humidity percentage inside the glider,% RH
Lat,flight_timeseries_engineering,Latitude coordinate converted from NMEA format (North is positive).,Decimal Degrees
Lon,flight_timeseries_engineering,Longitude coordinate converted from NMEA format (West is negative).,Decimal Degrees
DeadReckoning,flight_timeseries_engineering,"Position estimation flag (0 = true surface GPS fix, 1 = underwater dead-reckoned estimate).",numerical integer
DesiredH,flight_timeseries_engineering,Target heading set by the flight controller for active navigation segment.,Degrees (°)
DesiredHCC,flight_timeseries_engineering,Compass course adjustment command calculated by the flight controller considering current correction.,Degrees (°)
BallastCmd,flight_timeseries_engineering,Commanded variable buoyancy system oil volume move.,mL / cm³
