dive_index,start_time,end_time,duration_s,start_latitude,start_longitude,end_latitude,end_longitude,distance_m,max_depth_m,num_yos,end_battery_capacity,batteryPercent,batteryVoltage,diskSpaceRemainingMb,diskSpaceRemainingPercent
1,2026-01-28T23:05:08.000000Z,2026-01-28T23:13:29.200000Z,501.2,21.20871,-158.15186,21.207615,-158.15144,129.31,31.19,1,20836,99.0,3550.0,55976.0,99.0
2,2026-01-28T23:14:56.000000Z,2026-01-28T23:21:31.799999Z,395.8,21.207531,-158.15132,21.206697,-158.15117,94.03,31.437,1,20832,99.0,3548.0,55975.0,99.0
3,2026-01-28T23:26:10.000000Z,2026-01-28T23:34:48.599999Z,518.6,21.205936,-158.15065,21.204638,-158.15018,152.33,31.473,1,20808,99.0,3550.0,55972.0,99.0
4,2026-01-28T23:35:24.000000Z,2026-01-28T23:42:06.200000Z,402.2,21.204506,-158.15013,21.203775,-158.14989,85.01,31.84,1,20818,99.0,3550.0,55971.0,99.0
5,2026-01-28T23:42:44.000000Z,2026-01-28T23:49:17.799999Z,393.8,21.203678,-158.14983,21.202913,-158.14969,86.29,32.27,1,20813,99.0,3550.0,55970.0,99.0
6,2026-01-28T23:50:08.000000Z,2026-01-28T23:56:49.900000Z,401.9,21.202793,-158.14966,21.202177,-158.14949,70.73,31.318,1,20761,99.0,3548.0,55969.0,99.0
7,2026-01-28T23:58:37.000000Z,2026-01-29T00:05:17.200000Z,400.2,21.201937,-158.14929,21.20122,-158.14915,81.04,31.968,1,20801,99.0,3548.0,55968.0,99.0
8,2026-01-29T00:08:08.000000Z,2026-01-29T00:14:47.900000Z,399.9,21.200817,-158.1488,21.200047,-158.14862,87.63,31.977,1,20795,99.0,3545.0,55967.0,99.0
9,2026-01-29T00:17:51.000000Z,2026-01-29T00:24:31.799999Z,400.8,21.199707,-158.14824,21.199102,-158.14809,69.05,31.638,1,20775,99.0,3545.0,55966.0,99.0
10,2026-01-29T00:26:59.000000Z,2026-01-29T00:33:37.500000Z,398.5,21.198881,-158.14778,21.198189,-158.14767,77.79,31.931,1,20784,99.0,3545.0,55965.0,99.0
11,2026-01-29T00:38:36.000000Z,2026-01-29T00:45:14.900000Z,398.9,21.197495,-158.14713,21.19705,-158.14714,49.49,31.62,1,20775,99.0,3548.0,55964.0,99.0
12,2026-01-29T00:51:38.000000Z,2026-01-29T00:58:14.900000Z,396.9,21.19632,-158.1465,21.19574,-158.14642,65.02,32.068,1,20769,99.0,3545.0,55963.0,99.0
13,2026-01-29T01:07:40.000000Z,2026-01-29T01:14:19.000000Z,399.0,21.19482,-158.14618,21.194376,-158.14616,49.41,32.197,1,20726,99.0,3543.0,55961.0,99.0
14,2026-01-29T01:14:56.000000Z,2026-01-29T01:21:38.200000Z,402.2,21.19434,-158.1461,21.193838,-158.1461,55.82,31.794,1,20752,98.0,3545.0,55960.0,99.0
15,2026-01-29T01:22:23.000000Z,2026-01-29T01:29:08.099999Z,405.1,21.193779,-158.14601,21.193254,-158.14601,58.38,31.977,1,20746,98.0,3545.0,55959.0,99.0
16,2026-01-29T01:32:53.000000Z,2026-01-29T01:39:37.799999Z,404.8,21.192888,-158.14569,21.192331,-158.14568,61.94,32.279,1,20740,98.0,3545.0,55958.0,99.0
17,2026-01-29T01:40:28.000000Z,2026-01-29T01:47:04.700000Z,396.7,21.192263,-158.14554,21.19176,-158.14561,56.4,31.895,1,20735,98.0,3545.0,55957.0,99.0
18,2026-01-29T01:50:44.000000Z,2026-01-29T01:57:23.299999Z,399.3,21.191452,-158.1452,21.19091,-158.14514,60.59,31.528,1,20728,98.0,3543.0,55956.0,99.0
19,2026-01-29T01:59:27.000000Z,2026-01-29T02:06:09.099999Z,402.1,21.190695,-158.1449,21.190191,-158.1448,56.99,31.602,1,20660,98.0,3545.0,55955.0,99.0
20,2026-01-29T02:09:07.000000Z,2026-01-29T02:15:50.000000Z,403.0,21.18987,-158.14453,21.189405,-158.1446,52.21,31.391,1,20717,98.0,3543.0,55954.0,99.0
21,2026-01-29T02:16:40.000000Z,2026-01-29T02:23:27.099999Z,407.1,21.18932,-158.14453,21.188995,-158.14455,36.2,32.105,1,20712,98.0,3543.0,55953.0,99.0
22,2026-01-29T02:25:42.000000Z,2026-01-29T02:32:25.000000Z,403.0,21.188787,-158.14423,21.188505,-158.14438,35.0,32.032,1,20691,98.0,3545.0,55952.0,99.0
23,2026-01-29T02:33:15.000000Z,2026-01-29T02:39:51.900000Z,396.9,21.188463,-158.14427,21.18813,-158.1444,39.4,31.757,1,20701,98.0,3543.0,55951.0,99.0
24,2026-01-29T02:41:38.000000Z,2026-01-29T03:00:08.599999Z,1110.6,21.187979,-158.1442,21.1885,-158.14572,167.9,102.262,1,20692,98.0,3548.0,55949.0,99.0
25,2026-01-29T03:00:46.000000Z,2026-01-29T03:18:53.500000Z,1087.5,21.18849,-158.14563,21.189123,-158.14685,144.75,101.319,1,20682,98.0,3550.0,55947.0,99.0
26,2026-01-29T03:19:37.000000Z,2026-01-29T03:37:31.700000Z,1074.7,21.18909,-158.1468,21.189875,-158.14815,164.95,101.777,1,20673,98.0,3550.0,55945.0,99.0
27,2026-01-29T03:38:10.000000Z,2026-01-29T03:56:47.299999Z,1117.3,21.18982,-158.14807,21.190443,-158.14996,207.83,102.061,1,20663,98.0,3550.0,55943.0,99.0
28,2026-01-29T03:58:31.000000Z,2026-01-29T04:16:29.500000Z,1078.5,21.190228,-158.14975,21.190956,-158.15154,202.47,101.31,1,20653,98.0,3550.0,55940.0,99.0
29,2026-01-29T04:21:06.000000Z,2026-01-29T04:39:40.500000Z,1114.5,21.190687,-158.15074,21.191042,-158.15277,214.13,101.639,1,20643,98.0,3550.0,55938.0,99.0
30,2026-01-29T04:40:59.000000Z,2026-01-29T05:16:53.299999Z,2154.3,21.190931,-158.15256,21.19175,-158.1585,622.53,192.386,1,20624,98.0,3550.0,55934.0,99.0
31,2026-01-29T05:20:40.000000Z,2026-01-29T05:56:31.599999Z,2151.6,21.191605,-158.1582,21.191406,-158.16481,685.65,191.27,1,20604,98.0,3548.0,55929.0,99.0
32,2026-01-29T05:57:23.000000Z,2026-01-29T06:33:15.200000Z,2152.2,21.191374,-158.16467,21.191086,-158.17128,686.05,192.203,1,20588,98.0,3548.0,55925.0,99.0
33,2026-01-29T06:37:52.000000Z,2026-01-29T07:13:49.500000Z,2157.5,21.19107,-158.17058,21.190342,-158.17628,596.47,192.341,1,20570,98.0,3538.0,55921.0,99.0
34,2026-01-29T07:37:47.000000Z,2026-01-29T08:16:09.700000Z,2302.7,21.189766,-158.17238,21.190598,-158.17783,572.56,191.315,1,20533,97.0,3543.0,55914.0,99.0
35,2026-01-29T08:19:33.000000Z,2026-01-29T08:55:21.400000Z,2148.4,21.190546,-158.1774,21.192276,-158.18312,623.45,191.169,1,20515,97.0,3548.0,55910.0,99.0
36,2026-01-29T08:56:29.000000Z,2026-01-29T09:34:31.200000Z,2282.2,21.192682,-158.18239,21.193567,-158.18893,685.14,192.423,1,20497,97.0,3545.0,55905.0,99.0
37,2026-01-29T09:36:43.000000Z,2026-01-29T10:12:50.099999Z,2167.1,21.193565,-158.18854,21.194717,-158.19492,673.73,192.231,1,20399,97.0,3535.0,55901.0,99.0
