table_type,data_group,field,dtype,units,files_with_field,files_of_type,rows_min,rows_max,rows_total
AHRS,/Data/AHRS,time,float64,seconds since 1970-01-01T00:00:00 UTC,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Valid,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Quaternion_W,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Quaternion_X,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Quaternion_Y,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Quaternion_Z,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Gyro_X,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Gyro_Y,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Gyro_Z,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Accelerometer_X,float32,g,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Accelerometer_Y,float32,g,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Accelerometer_Z,float32,g,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Magnetometer_X,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Magnetometer_Y,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Magnetometer_Z,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Temperature,float32,C,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Heading,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Pitch,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,Roll,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,VBEMotor,float32,ml,19,19,111,2111710,7370386
AHRS,/Data/AHRS,PitchMotor,float32,%,19,19,111,2111710,7370386
AHRS,/Data/AHRS,RollMotor,float32,,19,19,111,2111710,7370386
AHRS,/Data/AHRS,ProcessorTime,float64,,19,19,111,2111710,7370386
BatteryStatus,/Data/BatteryStatus,time,float64,seconds since 1970-01-01T00:00:00 UTC,21,21,18,13663,48138
BatteryStatus,/Data/BatteryStatus,Age,float32,Hours,21,21,18,13663,48138
BatteryStatus,/Data/BatteryStatus,Voltage,float32,V,21,21,18,13663,48138
BatteryStatus,/Data/BatteryStatus,MinimumVoltage,float32,V,21,21,18,13663,48138
BatteryStatus,/Data/BatteryStatus,MaximumVoltage_MinimumVoltage,float32,V,21,21,18,13663,48138
