deployment_code,detection_start_datetime,detection_end_datetime,detection_effort_secs,detection_sound_source_code,organization_code,analysis_code,detection_call_type_code,detection_result_code
SWFSC_NEPAC_20240913_RODEOHACK,2026-01-29T00:10:17Z,2024-09-14T00:45:44Z,2126,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T00:15:05Z,2024-11-01T00:21:36Z,391,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241122_RODEOHACK,2026-01-29T00:28:16Z,2024-11-24T00:28:21Z,5,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241111_RODEOHACK,2026-01-29T00:43:42Z,2024-11-16T00:54:14Z,632,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T00:52:00Z,2024-10-09T01:12:10Z,1210,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241006_RODEOHACK,2026-01-29T01:21:03Z,2024-10-07T01:46:33Z,1531,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T01:29:35Z,2024-10-31T01:40:17Z,642,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241027_RODEOHACK,2026-01-29T01:54:07Z,2024-11-01T02:19:52Z,1545,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20240914_RODEOHACK,2026-01-29T01:55:57Z,2024-09-17T02:01:54Z,357,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
SWFSC_NEPAC_20241026_RODEOHACK,2026-01-29T02:03:07Z,2024-11-09T02:38:13Z,2106,BBWH,PIFSC,BEAKED_ANALYSIS,OD_CLICK_FM,DETECTED
