COLUMN_NAME,DEFINITION,ENTRY OPTIONS,EXAMPLE,Included in Glider Rodeo Datasets?
UNIQUE_ID*,"A unique ID for the recorder on the metadata sheet that this detection data can be linked to. There should be only one unique ID for any recorder entered. For each UNIQUE_ID and SPECIES combination, there should be the same combination of values for all of the following fields: CALL_TYPE, DETECTON_METHOD, PROTOCOL_REFERENCE, and ANALYSIS_SAMPLING_RATE_HZ. If multiple values are used across one UNIQUE_ID and SPECIES for any of these fields marked with an asterisk (*), enter all values and separate with a semicolon ("";""). A unique ID should have a combination with the minimum components: organization name or code, region or location of data collection, date for data (typically Year and Month of the first date of data collection), and site name or instrument ID for the particular recorder. Additional components could include project name, platform or recorder type, etc., as needed.",Text string,NEFSC_SBNMS_200601_CH3_3,Y
ANALYSIS_PERIOD_START_DATETIME,"Start date time of validated data analyzed, for the time scale of the analysis, in ISO8601 format (YYYY-MM-DDThh:mm:ssZ)  (i.e. the start date and time for the time bin of reporting right whales detected for that row of data);  for daily presence, the start date would be the beginning date and time for that analysis day).   Z in date time refers to date time stamps in UTC time zone. See https://en.wikipedia.org/wiki/ISO_8601 for further information on ISO8601 formats and time zones.",DATETIME in ISO8601 format (YYYY-MM-DDThh:mm:ssZ),2021-01-01T00:00:00-05:00,Y
ANALYSIS_PERIOD_END_DATETIME,"End date time of validated data analyzed, for the time scale of the analysis, in ISO8601 format (YYYY-MM-DDThh:mm:ssZ)  (i.e. the end for the time bin of reporting right whales detected for that row of data). Z in date time refers to date time stamps in UTC time zone. See https://en.wikipedia.org/wiki/ISO_8601 for further information on ISO8601 formats and time zones.",DATETIME in ISO8601 format (YYYY-MM-DDThh:mm:ssZ),2021-01-02T00:00:00-05:00,Y
ANALYSIS_PERIOD_EFFORT_SECONDS,"The amount of time, in seconds, the effort occurred in (i.e. if the first 5 minutes of every hour analyzed was looked at, this number would be 300).",Numeric,86400,Y
ANALYSIS_TIME_ZONE,"The time-zone that the analysis was conducted in and that the time stamps in the ANALYSIS_PERIOD_START_DATETIME match (these may differ from the time zone of the sound files, for example if sound files are in UTC, but analysis was conducted on a local time zone, the analysis time zone would be i.e. UTC-5). ",Text string,UTC-5,Y
SPECIES_CODE*,"The species for which analysis was conducted for and the detection ""ACOUSTIC_PRESENCE"" column pertains to. See Species Code tab to find the appropriate code to use for each species.",see SPECIES_CODE field on Species_Codes tab,FIWH,Y
ACOUSTIC_PRESENCE,"Whether the species was detected, possibly detected, not detected, or not analyzed for. Entry options: D, P, N, M.  ""D"" denotes a day with validated species' presence, ""P"" for days that cannot definitively confirm species' presence, ""N"" for no true detections, and ""M"" for data that has not been analyzed for that species' presence, or if the data is missing (i.e. if no recordings are available for that time-  use M here for data gap times within a deployment).","""D""; ""P""; ""N""; ""M"" ",D,Y
N_VALIDATED_DETECTIONS,"The number of detections validated and found ""true"" during the analysis period.  This column may be left blank if total true detections was not tallied for the analysis.   ",Numeric or NA,1,N
CALL_TYPE_CODE*,"The call type used for the analysis period to determine the species' presence.  See the Call_Type_Code tab to use the appropriate CALL_TYPE_CODE listed for the call type and species descriptions.  If an additional call type is used that is not listed in Call_Type_Codes, or a combination of call types are used that are not currently listed, please let nmfs.pacmdata@noaa.gov know upon submission so this field can be updated accordingly. There should be only one code listed per row. No commas should be used in this field.",see CALL_TYPE_CODE field on Call_Type_Codes tab,UPCALL,Y
DETECTION_METHOD*,"How the data was reviewed for this species' presence, either ""Manual"" for hand browsing, or the detector used. For example, Manual, LFDCS, ISRAT, Pamguard Click Detector. If there is an available version of the detector, include here (i.e. ISRAT v3.5). If multiple detectors for this SPECIES and UNIQUE_ID were used, separate multiple entries with semicolon ("";"").",Text string,LFDCS,Y
PROTOCOL_REFERENCE*,"Published reference, DOI, or link to documentation for the detector used, and/or analysis method.  If not available, ""Unpublished"" should be used.  Separate multiple entries with a semicolon ("";"") and have doi in parenthesis following Author Year (if available). Do not use commas in this field.",Text string,Baumgartner & Mussoline 2011 (doi:10.1121/1.3562166); Davis et al. 2017 (doi:10.1038/s41598-017-13359-3),Y
DETECTION_SOFTWARE_NAME,"The software used for the detection method. This could be either the standalone software program (i.e. PAMGUARD, Raven), or the name of the programming language the detection method was written in (i.e. IDL, MATLAB).",Text string,Matlab,Y
DETECTION_SOFTWARE_VERSION,"The version number of the software used, if applicable.",Text string,2014b,Y
MIN_ANALYSIS_FREQUENCY_RANGE_HZ,"The minimum frequency (Hz) used for this analysis, if applicable.  Default value is 0 (Hz).  If middle frequencies were viewed for this analysis (i.e. 200-1000Hz), this value would be 200. ",Numeric,0,Y
MAX_ANALYSIS_FREQUENCY_RANGE_HZ,"The maximum frequency (Hz) used for the analysis, if applicable.  For example, if the original recordings had a sample rate of 48kHz, and the data was either resampled to 2kHz for the analysis, or only viewed at up to 1kHz, then this value would be 1000. Default value is relative to the recordings' sample rate (i.e. if sample rate is 48 kHz, the default value for this field is 24000).",Numeric,1000,Y
ANALYSIS_SAMPLING_RATE_HZ,"The sample rate used for the analysis.  For example, if the recorder had a sample rate of 48kHz, and the data was resampled to 2kHz for the analysis, then this value would be 2000. ",Numeric,2000,N
QC_PROCESSING,"Was the analysis conducted in real time (i.e. the recorder did not have to be retrieved for the analysis), or was analysis done post-processing recordings (i.e. analysis done after the recorder was retrieved)?","""Real-time"" or ""Archival""",Archival,N
LOCALIZED_LATITUDE,"The estimated latitude (in DD) of the localized detection, if applicable",Numeric in DD,42.4697,N
LOCALIZED_LONGITUDE,"The estimated latitude (in DD) of the localized detection, if applicable",Numeric in DD,-70.2403,N
