UNIQUE_ID,ANALYSIS_PERIOD_START_DATETIME,ANALYSIS_PERIOD_END_DATETIME,ANALYSIS_TIME_ZONE,SPECIES_CODE,ACOUSTIC_PRESENCE,CALL_TYPE_CODE,DETECTION_METHOD,PROTOCOL_REFERENCE,DETECTION_SOFTWARE_NAME,DETECTION_SOFTWARE_VERSION,MIN_ANALYSIS_FREQUENCY_RANGE_HZ,MAX_ANALYSIS_FREQUENCY_RANGE_HZ,ANALYSIS_PERIOD_EFFORT_SECONDS
SWFSC_NEPac_2026_RODEOHACK,2026-02-01T22:41:54Z,2026-02-01T23:58:54Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,4620
SWFSC_NEPac_2026_RODEOHACK,2026-02-02T00:33:22Z,2026-02-02T01:05:22Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,1920
SWFSC_NEPac_2026_RODEOHACK,2026-02-02T01:08:24Z,2026-02-02T02:07:24Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,3540
SWFSC_NEPac_2026_RODEOHACK,2026-02-03T07:17:08Z,2026-02-03T07:42:08Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,1500
SWFSC_NEPac_2026_RODEOHACK,2026-02-03T14:33:18Z,2026-02-03T14:59:18Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,1560
SWFSC_NEPac_2026_RODEOHACK,2026-02-07T02:01:30Z,2026-02-07T02:32:30Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,1860
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T08:27:57Z,2026-01-29T09:22:57Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3300
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T10:51:38Z,2026-01-29T14:46:38Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,14100
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T16:00:21Z,2026-01-29T17:25:21Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,5100
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T17:41:30Z,2026-01-29T23:48:30Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,22020
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T00:21:24Z,2026-01-30T06:19:24Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,21480
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T08:20:36Z,2026-01-30T11:40:36Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,12000
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T13:11:07Z,2026-01-30T17:54:07Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,16980
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T18:25:32Z,2026-01-30T20:40:32Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,8100
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T20:45:16Z,2026-01-31T02:41:16Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,21360
SWFSC_NEPac_2026_RODEOHACK,2026-01-31T08:02:04Z,2026-01-31T14:15:04Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,22380
SWFSC_NEPac_2026_RODEOHACK,2026-01-31T14:17:40Z,2026-01-31T17:30:40Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,11580
SWFSC_NEPac_2026_RODEOHACK,2026-01-31T22:58:17Z,2026-02-01T02:40:17Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,13320
SWFSC_NEPac_2026_RODEOHACK,2026-02-01T02:53:09Z,2026-02-01T04:27:09Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,5640
SWFSC_NEPac_2026_RODEOHACK,2026-02-01T04:42:56Z,2026-02-01T06:25:56Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,6180
SWFSC_NEPac_2026_RODEOHACK,2026-02-01T06:57:27Z,2026-02-01T09:36:27Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,9540
SWFSC_NEPac_2026_RODEOHACK,2026-02-01T09:53:43Z,2026-02-01T14:22:43Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,16140
