UNIQUE_ID,ANALYSIS_PERIOD_START_DATETIME,ANALYSIS_PERIOD_END_DATETIME,ANALYSIS_TIME_ZONE,SPECIES_CODE,ACOUSTIC_PRESENCE,CALL_TYPE_CODE,DETECTION_METHOD,PROTOCOL_REFERENCE,DETECTION_SOFTWARE_NAME,DETECTION_SOFTWARE_VERSION,MIN_ANALYSIS_FREQUENCY_RANGE_HZ,MAX_ANALYSIS_FREQUENCY_RANGE_HZ,ANALYSIS_PERIOD_EFFORT_SECONDS
SWFSC_NEPac_2026_RODEOHACK,2026-02-01T22:00:00Z,2026-02-01T22:59:59Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,3600
SWFSC_NEPac_2026_RODEOHACK,2026-02-02T00:00:00Z,2026-02-02T00:59:59Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,3600
SWFSC_NEPac_2026_RODEOHACK,2026-02-02T01:00:00Z,2026-02-02T01:59:59Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,3600
SWFSC_NEPac_2026_RODEOHACK,2026-02-03T07:00:00Z,2026-02-03T07:59:59Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,3600
SWFSC_NEPac_2026_RODEOHACK,2026-02-03T14:00:00Z,2026-02-03T14:59:59Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,3600
SWFSC_NEPac_2026_RODEOHACK,2026-02-07T02:00:00Z,2026-02-07T02:59:59Z,UTC,FIWH,D,FW20HZ,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,250,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T08:00:00Z,2026-01-29T08:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T10:00:00Z,2026-01-29T10:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T13:00:00Z,2026-01-29T13:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T14:00:00Z,2026-01-29T14:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T16:00:00Z,2026-01-29T16:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T17:00:00Z,2026-01-29T17:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T21:00:00Z,2026-01-29T21:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T22:00:00Z,2026-01-29T22:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-29T23:00:00Z,2026-01-29T23:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T00:00:00Z,2026-01-30T00:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T01:00:00Z,2026-01-30T01:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T02:00:00Z,2026-01-30T02:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T03:00:00Z,2026-01-30T03:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T04:00:00Z,2026-01-30T04:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T05:00:00Z,2026-01-30T05:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T08:00:00Z,2026-01-30T08:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T09:00:00Z,2026-01-30T09:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
SWFSC_NEPac_2026_RODEOHACK,2026-01-30T10:00:00Z,2026-01-30T10:59:59Z,UTC,HUWH,D,HUWH_SONG,Manual,Unpublished,Matlab (Triton),1.93.20160524,0,2000,3600
