dive,time,pitch,roll,heading,vbdCC
1,1769646834,-68.9,0,158.5,503.788698196411
1,1769646839,-70.8,8,162.2,462.510696411133
1,1769646844,-70.8,-2.9,164.1,420.621234893799
1,1769646849,-71.6,3,158.9,378.715019226074
1,1769646854,-63.1,4.4,151,336.867437362671
1,1769646859,-70.5,13.5,142.2,294.96960067749
1,1769646864,-66.5,1.8,151.9,253.113641738892
1,1769646869,-74,5.9,148.8,211.215803146362
1,1769646874,-71.2,4.5,152.6,169.376598358154
1,1769646879,-65.5,4.7,153.6,127.47038269043
1,1769646884,-75.3,11.8,153.1,85.5557918548584
1,1769646889,-71.7,5.9,158,43.6998329162598
1,1769646894,-76.1,-3.6,174,1.86900329589844
1,1769646899,-71.8,6.8,166.4,-40.0790920257568
1,1769646904,-76,-8.1,177.1,-81.8429107666016
1,1769646910,-73.9,5.2,168.8,-87.4068477489054
1,1769646915,-68.6,-0.2,174,-87.3447499461472
1,1769646920,-61.7,-1.2,177.1,-87.2823399715126
1,1769646925,-48.4,1.5,173.3,-87.2199549674988
1,1769646930,-31.9,1.7,174.4,-139.057281494141
1,1769646935,-23.1,-15.6,176.7,-145.872909919359
1,1769646945,-17.7,-21.6,179.9,-145.84788885992
1,1769646967,-15.1,-22.7,192.5,-145.789243284613
1,1769646972,-15.5,-22.4,195.1,-145.776072367094
1,1769646977,-15.5,-23,197.8,-145.762909342535
1,1769646982,-15,-22.5,202.1,-145.749746317975
1,1769646987,-15.1,-22.5,204.3,-145.736604342237
1,1769646992,-14.9,-22.7,208.3,-145.723443948664
1,1769646997,-14.7,-22.2,213.1,-145.710278293118
1,1769647002,-15,-22.4,215.8,-145.697117899545
1,1769647007,-15.1,-22.9,219.1,-145.683962768875
1,1769647012,-14.8,-22.4,223.7,-145.670794482343
1,1769647017,-15.2,-22.5,226.7,-145.657636720687
1,1769647022,-15.5,-22.7,230.2,-145.644484220073
1,1769647027,-15.2,-22.7,237,-145.631318564527
1,1769647032,-15.5,-22.8,239.8,-145.618173957802
1,1769647037,-15.2,-22.7,241.8,-145.605003040284
1,1769647042,-15.6,-22.9,246.8,-145.591855801642
1,1769647047,-15.4,-22.7,251.5,-145.578695408069
1,1769647052,-15.7,-22.9,255.4,-145.565535015427
1,1769647057,-15.6,-22.9,260.6,-145.55240619462
1,1769647061,-15.4,-10.1,266.7,-145.68103556335
1,1769647067,-16.3,0.3,268.2,-145.808922773227
1,1769647072,-15.8,0.4,270.5,-145.782738139853
1,1769647077,-15.5,0.4,270.3,-145.756590157747
1,1769647082,-15.6,0.5,267.1,-145.730379344895
1,1769647087,-15.5,0.7,269.7,-145.704205185175
1,1769647092,-15.2,0.4,267.6,-145.67798913829
1,1769647097,-15.5,0.6,268.1,-145.651804504916
1,1769647102,-15.5,0.5,266.9,-145.625630345196
1,1769647107,-14.8,0.6,265.6,-145.599450947717
1,1769647112,-15.8,0.8,266.2,-145.573308201507
1,1769647117,-15.5,0.3,266.3,-145.547086916864
1,1769647122,-15.5,0.8,261.1,-145.520897049457
1,1769647127,-15.7,0.7,264.1,-145.494717651978
1,1769647131,-15.2,0.5,264.4,-145.519737269729
1,1769647137,-15.7,0.5,263.6,-145.544551365776
1,1769647142,-15.4,0.7,263.3,-145.541894239956
1,1769647147,-15.6,0.6,264.7,-145.539244545042
1,1769647152,-15.7,0.5,263.2,-145.536589542287
1,1769647157,-15.7,0.4,262.7,-145.533935601125
1,1769647162,-15.8,0.6,265.5,-145.531282190699
1,1769647167,-15.3,0.5,261.1,-145.528623472434
1,1769647172,-15.3,0.8,259.6,-145.525968469796
1,1769647177,-16,0.6,261.8,-145.523317182437
1,1769647182,-15.4,0.4,261.3,-145.520663241274
1,1769647187,-15.6,0.6,258.8,-145.518007177045
1,1769647192,-15.5,0.4,261.7,-145.515355889918
1,1769647197,-15.5,0.5,258.4,-145.512695579208
1,1769647201,-15.4,0.6,257.2,-145.518590387423
1,1769647207,-15.7,0.8,258.9,-145.523520260118
1,1769647212,-15.6,0.7,260.8,-145.522433565056
1,1769647217,-15.4,0.4,261.6,-145.52134491317
1,1769647222,-16.1,0.9,266.2,-145.520257783297
1,1769647227,-15.4,0.5,266,-145.519170653424
1,1769647232,-15.9,0.4,266.4,-145.518083523493
1,1769647237,-15.9,1.5,264.2,-145.516997915576
1,1769647242,-15.9,1,271.4,-145.515908828878
1,1769647247,-15.9,1.4,268.9,-145.514823655831
1,1769647252,-15.4,1.4,266.8,-145.513733916858
1,1769647257,-15.3,0.7,270.6,-145.512647004391
1,1769647261,-13.6,0.4,269.5,-143.900578022003
1,1769647266,-6.3,1.4,269.1,-136.71689414978
1,1769647271,-2.4,1.4,267.9,-129.550444602966
1,1769647276,-0.6,1.5,267.4,-122.37825012207
1,1769647281,1.5,1.7,267.1,-115.194566726685
1,1769647286,1.1,1.9,262.7,-108.015191078186
1,1769647291,1.4,2,264.1,-100.835815906525
1,1769647296,1.5,1.9,261.3,-93.6521325111389
1,1769647301,1.4,2,261.4,-86.4756293296814
1,1769647306,1.4,2.1,259.1,-79.2976903915405
1,1769647311,1.6,1.7,260.3,-72.1111340522766
1,1769647316,1.2,1.5,257.4,-64.9288868904114
1,1769647321,0.4,1.8,255.8,-57.7538199424744
1,1769647326,0.6,1.5,254.5,-50.5730085372925
1,1769647331,1,1.9,251,-43.3907608985901
1,1769647336,0.7,1.8,247.8,-36.2056412696838
1,1769647341,-0.1,1.9,248.6,-29.0391912460327
1,1769647346,-0.8,1.7,245.6,-21.8454542160034
1,1769647351,-1.2,1.8,244.6,-14.6746959686279
1,1769647356,-0.7,2.1,243.9,-7.48814010620117
1,1769647361,0.2,1.6,244.1,-0.315945625305176
1,1769647371,-1.4,3,239.7,0.793105751276016
1,1769647395,25.5,2.9,234.7,34.8668427467346
1,1769647400,26.8,2.8,234.8,41.8913164138794
1,1769647405,28.1,3,234.5,48.9581828117371
1,1769647410,27.7,3,233.6,56.0278759002686
1,1769647415,26.1,3.1,232.8,63.0862636566162
1,1769647420,25.8,3.1,230.7,70.1460647583008
1,1769647425,25.8,3.2,228.7,77.2157573699951
1,1769647430,25.5,3.2,225.1,84.2826242446899
1,1769647435,25,3.1,222.8,91.3452515602112
1,1769647440,25.4,3.2,218.9,98.4121179580688
1,1769647445,26.3,3.3,215.9,105.476158618927
1,1769647450,26.3,3.3,212.9,112.541612148285
1,1769647455,26.1,3.3,210,119.607065677643
1,1769647460,25.6,3.2,208,126.675344944
1,1769647465,25.3,3.3,206.3,133.743624687195
1,1769647470,25.3,3.3,204.6,140.803425788879
1,1769647475,25.4,5.8,203.9,146.902710320428
1,1769647480,27.8,29.2,208.3,146.94675908424
1,1769647488,32.6,24.9,212.5,147.018087847158
1,1769647493,30.1,25.4,216.9,147.062092669308
1,1769647498,28.4,25.4,219.2,147.106097489595
1,1769647503,29.6,25.6,222.4,147.150049576536
