dive,startTime,startLatitude,startLongitude,endTime,endLatitude,endLongitude,duration_hr,distance_km,maxDepth_m,dac_n,dac_e,dac_n_gsm,dac_e_gsm,dac_qc,avg_speed_n,avg_speed_e,avg_speed_n_gsm,avg_speed_e_gsm,hdm_qc
1,1769638584,21.2126666666667,-158.157016666667,1769640328,21.20805,-158.1526,0.484444444444444,0.687857321157431,50.5896510427346,NaN,NaN,NaN,NaN,4,-0.0366688460757305,-0.0279576139679904,-0.030412384660745,-0.0410516724758979,1
2,1769642203,21.2032833333333,-158.148333333333,1769643669,21.2009,-158.146983333333,0.407222222222222,0.299698699060192,64.8001471796893,-0.256264457406972,0.197191743197539,-0.272595956638851,0.213273802907853,4,0.0744404994859421,-0.101171962412451,0.0907719987178213,-0.117254022122765,1
3,1769646186,21.1952,-158.141466666667,1769648171,21.1915,-158.1413,0.551388888888889,0.411783915600775,111.934712567589,-0.232670455192222,0.139009429785554,-0.253618761801364,0.149791792173739,4,0.0244477688859125,-0.130264398048482,0.0453960754950545,-0.141046760436668,1
4,1769649808,21.1885833333333,-158.13805,1769653801,21.1898166666667,-158.138883333333,1.10916666666667,0.162086571205443,248.537752148318,-0.0563078732675625,0.104700259438988,-0.0643456171511444,0.119681393656162,4,0.0907500159039464,-0.126398621946457,0.0987877597875283,-0.141379756163632,1
5,1769654023,21.1894166666667,-158.138466666667,1769660611,21.1922333333333,-158.156333333333,1.83,1.87863819915973,361.814997760365,-0.0469276482057025,0.00638377845805569,-0.0442247201544577,-0.00105053384583156,1,0.094571753730361,-0.288164319372999,0.0918688256791162,-0.280730007069112,1
6,1769660611,21.1922333333333,-158.156333333333,1769667685,21.1898,-158.174316666667,1.965,1.88397077498033,345.487971006845,NaN,NaN,NaN,NaN,4,0.0713888615757319,-0.273338217971336,0.066784760113202,-0.265931254635266,1
7,1769668441,21.18965,-158.172233333333,1769679036,21.1979666666667,-158.196283333333,2.94305555555556,2.65933202154778,554.286529505341,-0.0445914967701375,0.00198957734131942,-0.0413535724212512,0.000261195665681701,1,0.132031189204477,-0.237743745062237,0.128793264855591,-0.236015363386599,1
8,1769680055,21.19745,-158.193416666667,1769693523,21.2057333333333,-158.231266666667,3.74111111111111,4.03050838888004,735.415668182763,0.00405015279475052,0.00470441320557838,0.00675781147775568,-0.00531804265798218,3,0.064450333217876,-0.296525378701246,0.0617426745348709,-0.286502922837686,1
9,1769694465,21.2039,-158.230416666667,1769705403,21.1969166666667,-158.2652,3.03833333333333,3.68862674857361,732.754371679053,-0.0270622948025144,0.0608802190488863,-0.0305537541845486,0.0460840220644541,1,-0.0440536240962919,-0.391128695689405,-0.0405621647142578,-0.376332498704972,1
10,1769711081,21.1923833333333,-158.25425,1769723630,21.1865666666667,-158.287066666667,3.48583333333333,3.46326674930071,733.283155665963,-0.0730548160602251,-0.00478319763025884,-0.074610648241652,0.00681494208628402,1,0.0214268764834952,-0.26679993231414,0.0229827086649221,-0.278398072030683,1
